Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,14.5408,-1,-1,Login,None,-1
2,65.79062,0,0,Start,None,-1
3,77.29056,0,0,None,Right,1
4,77.65729,0,0,None,Right,1
5,78.00733,0,0,None,Right,2
6,79.32399,0,0,None,Right,2
7,80.19062,0,0,None,Up,1
8,80.6406,0,0,None,Right,1
9,80.97392,0,0,None,Right,1
10,81.47395,0,0,None,Down,1
11,81.49059,0,0,Success,None,-1
12,84.84062,0,1,Start,None,-1
13,90.15725,0,1,None,Right,1
14,90.40725,0,1,None,Right,1
15,90.95727,0,1,None,Right,1
16,91.67385,0,1,None,Right,1
17,92.07385,0,1,None,Right,1
18,92.34055,0,1,None,Right,1
19,93.59056,0,1,None,Up,1
20,94.25728,0,1,None,Up,0
21,94.94053,0,1,None,Up,0
22,95.20728,0,1,None,Left,1
23,95.5572,0,1,None,Left,1
24,95.92397,0,1,None,Left,1
25,96.49056,0,1,None,Down,1
26,96.95726,0,1,None,Down,1
27,97.54054,0,1,None,Right,1
28,97.89052,0,1,None,Right,1
29,98.2572,0,1,None,Right,1
30,98.65723,0,1,None,Up,1
31,99.42407,0,1,None,Left,1
32,100.5739,0,1,None,Left,1
33,101.2072,0,1,None,Left,1
34,103.2239,0,1,None,Down,1
35,106.1739,0,1,None,Left,1
36,106.4905,0,1,None,Left,1
37,107.0572,0,1,None,Left,1
38,107.4072,0,1,None,Down,0
39,108.2572,0,1,None,Left,1
40,109.0239,0,1,None,Down,0
41,111.4072,0,1,None,Right,1
42,111.8573,0,1,None,Right,1
43,112.5072,0,1,None,Right,1
44,113.0572,0,1,None,Right,1
45,113.3238,0,1,None,Right,1
46,114.4905,0,1,None,Left,1
47,115.1238,0,1,None,Up,1
48,115.4572,0,1,None,Up,1
49,116.0904,0,1,None,Up,0
50,116.8571,0,1,None,Right,1
51,117.1072,0,1,None,Right,1
52,117.3572,0,1,None,Right,1
53,117.8571,0,1,None,Down,1
54,119.7238,0,1,Undo,None,1
55,120.3739,0,1,Undo,None,1
56,120.6405,0,1,Undo,None,1
57,120.9072,0,1,Undo,None,1
58,124.5071,0,1,Undo,None,1
59,124.9405,0,1,Undo,None,1
60,125.3072,0,1,Undo,None,1
61,126.1072,0,1,None,Right,1
62,126.3572,0,1,None,Right,1
63,126.6238,0,1,None,Right,1
64,127.5238,0,1,None,Left,1
65,127.8904,0,1,None,Left,1
66,128.1405,0,1,None,Left,1
67,128.4071,0,1,None,Left,1
68,129.1405,0,1,None,Up,1
69,129.6072,0,1,None,Up,1
70,131.0905,0,1,None,Down,1
71,131.4238,0,1,None,Down,1
72,132.1571,0,1,None,Left,1
73,132.5238,0,1,None,Left,1
74,133.2572,0,1,None,Up,1
75,133.5904,0,1,None,Up,1
76,134.3571,0,1,None,Right,1
77,134.6238,0,1,None,Right,1
78,134.9405,0,1,None,Down,1
79,135.4905,0,1,None,Down,1
80,136.1405,0,1,None,Right,1
81,136.6243,0,1,None,Right,1
82,137.2571,0,1,None,Right,1
83,137.9571,0,1,None,Right,1
84,138.4238,0,1,None,Up,1
85,138.9571,0,1,None,Left,1
86,139.8071,0,1,None,Left,1
87,140.2737,0,1,None,Left,1
88,140.6238,0,1,None,Left,1
89,142.6404,0,1,None,Left,1
90,143.0573,0,1,None,Left,1
91,143.3904,0,1,None,Left,1
92,144.9904,0,1,None,Up,1
93,145.5238,0,1,None,Up,0
94,146.5571,0,1,None,Left,1
95,146.8071,0,1,None,Left,1
96,147.4071,0,1,None,Down,1
97,147.7404,0,1,None,Down,1
98,148.3071,0,1,None,Right,1
99,148.9071,0,1,None,Up,1
100,149.3571,0,1,None,Up,1
101,150.0404,0,1,None,Up,0
102,150.4403,0,1,None,Right,1
103,150.6904,0,1,None,Right,1
104,152.1071,0,1,None,Left,1
105,152.6904,0,1,None,Down,1
106,153.0408,0,1,None,Down,1
107,153.6571,0,1,None,Right,1
108,153.9237,0,1,None,Right,1
109,154.6237,0,1,None,Up,1
110,155.0571,0,1,None,Up,1
111,158.9237,0,1,None,Right,1
112,160.0903,0,1,None,Down,1
113,160.6237,0,1,None,Down,1
114,161.6237,0,1,None,Left,1
115,167.3237,0,1,None,Up,1
116,167.857,0,1,None,Up,1
117,168.7403,0,1,None,Right,1
118,169.007,0,1,None,Right,1
119,169.907,0,1,None,Right,1
120,170.157,0,1,None,Right,1
121,170.8903,0,1,None,Down,1
122,171.1403,0,1,None,Down,1
123,172.4071,0,1,None,Down,0
124,172.9904,0,1,None,Left,1
125,173.657,0,1,None,Left,1
126,175.507,0,1,None,Left,1
127,176.1737,0,1,None,Right,1
128,176.6903,0,1,None,Right,1
129,176.957,0,1,None,Right,1
130,177.757,0,1,None,Up,1
131,178.2737,0,1,None,Right,1
132,178.807,0,1,None,Right,1
133,179.0736,0,1,None,Right,1
134,179.5237,0,1,None,Up,1
135,180.1906,0,1,None,Up,1
136,180.6069,0,1,None,Up,1
137,181.3236,0,1,None,Left,4
138,181.5737,0,1,None,Left,4
139,181.8403,0,1,None,Left,4
140,182.0903,0,1,None,Left,4
141,182.957,0,1,None,Left,4
142,184.2904,0,1,None,Right,1
143,184.6903,0,1,None,Right,1
144,185.1071,0,1,None,Right,1
145,185.907,0,1,None,Right,1
146,186.2736,0,1,None,Right,1
147,186.5236,0,1,None,Right,1
148,186.7736,0,1,None,Right,1
149,187.3903,0,1,None,Down,1
150,187.6403,0,1,None,Down,1
151,188.0069,0,1,None,Down,1
152,188.2735,0,1,None,Down,1
153,188.9403,0,1,None,Down,1
154,189.2736,0,1,None,Down,1
155,189.6236,0,1,None,Down,1
156,189.9403,0,1,None,Down,1
157,190.4236,0,1,None,Left,1
158,190.8569,0,1,None,Left,1
159,191.2569,0,1,None,Left,1
160,191.8736,0,1,None,Left,1
161,192.3736,0,1,None,Up,1
162,192.707,0,1,None,Up,1
163,193.1069,0,1,None,Left,2
164,193.4569,0,1,None,Left,2
165,193.8069,0,1,None,Left,2
166,194.1903,0,1,None,Left,2
167,194.6736,0,1,None,Left,2
168,195.4569,0,1,None,Left,3
169,196.957,0,1,None,Right,1
170,197.2236,0,1,None,Right,1
171,197.4736,0,1,None,Right,1
