Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,89.59847,-1,-1,Login,None,-1
2,151.2985,0,0,Start,None,-1
3,171.3984,0,0,None,Right,1
4,173.0651,0,0,None,Up,1
5,173.4318,0,0,None,Right,1
6,173.9651,0,0,None,Right,2
7,175.6984,0,0,None,Left,1
8,175.9484,0,0,None,Left,1
9,177.0651,0,0,None,Down,1
10,177.8984,0,0,None,Up,1
11,178.1485,0,0,None,Up,0
12,178.6485,0,0,None,Down,1
13,179.8984,0,0,None,Up,1
14,180.2317,0,0,None,Right,1
15,180.5318,0,0,None,Right,1
16,180.9151,0,0,None,Right,2
17,181.1817,0,0,None,Right,2
18,181.5485,0,0,None,Right,2
19,182.1485,0,0,None,Down,1
20,182.1651,0,0,Success,None,-1
21,186.6651,0,1,Start,None,-1
22,214.765,0,1,None,Down,1
23,215.2984,0,1,None,Up,1
24,215.5817,0,1,None,Up,1
25,215.8483,0,1,None,Up,0
26,216.1983,0,1,None,Down,1
27,216.7816,0,1,None,Right,1
28,218.4316,0,1,None,Right,1
29,218.765,0,1,None,Right,1
30,219.0817,0,1,None,Right,1
31,220.465,0,1,None,Up,1
32,220.7817,0,1,None,Left,1
33,221.4983,0,1,None,Left,1
34,221.9817,0,1,None,Down,1
35,224.4318,0,1,None,Right,1
36,224.7983,0,1,None,Right,1
37,225.0484,0,1,None,Right,1
38,225.2984,0,1,None,Right,1
39,225.9317,0,1,None,Right,1
40,226.4317,0,1,None,Left,1
41,226.9483,0,1,None,Left,1
42,227.2818,0,1,None,Left,1
43,229.015,0,1,None,Down,1
44,229.7817,0,1,None,Up,1
45,230.4483,0,1,None,Left,1
46,230.7817,0,1,None,Down,1
47,231.2316,0,1,None,Up,1
48,231.515,0,1,None,Up,1
49,232.4982,0,1,None,Down,1
50,233.0149,0,1,None,Down,1
51,233.7483,0,1,None,Right,1
52,234.0149,0,1,None,Right,1
53,234.4149,0,1,None,Right,1
54,237.0483,0,1,None,Up,1
55,255.2483,0,1,None,Left,1
56,255.5982,0,1,None,Left,1
57,255.9317,0,1,None,Left,1
58,256.3983,0,1,None,Left,1
59,257.1149,0,1,None,Right,1
60,257.4816,0,1,None,Down,1
61,257.9482,0,1,None,Up,1
62,258.1982,0,1,None,Up,1
63,258.4482,0,1,None,Up,0
64,258.9149,0,1,None,Up,0
65,259.4315,0,1,None,Down,1
66,259.7816,0,1,None,Down,1
67,260.0482,0,1,None,Down,0
68,260.5149,0,1,None,Down,0
69,260.9316,0,1,None,Up,1
70,261.2483,0,1,None,Up,1
71,261.5982,0,1,None,Right,1
72,261.9482,0,1,None,Right,1
73,262.2982,0,1,None,Right,1
74,262.5648,0,1,None,Down,1
75,262.8482,0,1,None,Down,1
76,263.0982,0,1,None,Right,1
77,263.4982,0,1,None,Right,1
78,263.7482,0,1,None,Up,1
79,264.1482,0,1,None,Left,1
80,264.5482,0,1,None,Left,1
81,264.7982,0,1,None,Left,1
82,265.2649,0,1,None,Right,1
83,265.5149,0,1,None,Right,1
84,266.2649,0,1,None,Right,1
85,266.5149,0,1,None,Right,1
86,266.9648,0,1,None,Right,1
87,267.4982,0,1,None,Up,1
88,267.7482,0,1,None,Up,1
89,267.9982,0,1,None,Up,1
90,268.2482,0,1,None,Up,1
91,268.7148,0,1,None,Down,1
92,268.9648,0,1,None,Down,1
93,269.2149,0,1,None,Down,1
94,269.4815,0,1,None,Down,1
95,269.7317,0,1,None,Down,1
96,269.9982,0,1,None,Down,1
97,270.2483,0,1,None,Down,1
98,270.7649,0,1,None,Down,1
99,271.0816,0,1,None,Left,1
100,271.3482,0,1,None,Left,1
101,271.6148,0,1,None,Left,1
102,271.8649,0,1,None,Left,1
103,272.1149,0,1,None,Left,1
104,272.3655,0,1,None,Up,1
105,272.9316,0,1,None,Right,2
106,275.6315,0,1,None,Down,1
107,275.9817,0,1,None,Right,1
108,276.2982,0,1,None,Right,1
109,276.8983,0,1,None,Up,0
110,277.4482,0,1,None,Up,0
111,277.7483,0,1,None,Right,1
112,278.0815,0,1,None,Up,1
113,278.5815,0,1,None,Left,3
114,280.9983,0,1,None,Down,1
115,281.3482,0,1,None,Left,1
116,281.6148,0,1,None,Left,1
117,281.8648,0,1,None,Left,1
118,282.1315,0,1,None,Left,1
119,282.3816,0,1,None,Left,1
120,282.6481,0,1,None,Left,1
121,282.9482,0,1,None,Left,1
122,283.2148,0,1,None,Left,1
123,283.4648,0,1,None,Left,1
124,283.7982,0,1,None,Up,1
125,284.0982,0,1,None,Right,2
126,284.8147,0,1,None,Left,1
127,285.0982,0,1,None,Left,2
128,285.8315,0,1,None,Down,1
129,286.2148,0,1,None,Left,1
130,286.5482,0,1,None,Left,1
131,286.9816,0,1,None,Up,1
132,287.3815,0,1,None,Right,2
133,287.7648,0,1,None,Right,2
134,292.0315,0,1,None,Down,1
135,292.6982,0,1,None,Right,1
136,293.0815,0,1,None,Right,1
