Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,12.12272,-1,-1,Login,None,-1
2,60.53922,0,0,Start,None,-1
3,69.15591,0,0,None,Up,1
4,73.07252,0,0,None,Down,1
5,73.55582,0,0,None,Right,1
6,73.85586,0,0,None,Right,1
7,74.18914,0,0,None,Right,2
8,74.75589,0,0,None,Right,2
9,75.28925,0,0,None,Up,1
10,75.60588,0,0,None,Right,1
11,75.88924,0,0,None,Right,1
12,76.3225,0,0,None,Down,1
13,76.33915,0,0,Success,None,-1
14,89.37251,0,1,Start,None,-1
15,96.5058,0,1,None,Up,1
16,96.88919,0,1,None,Up,0
17,97.62244,0,1,None,Right,1
18,97.95582,0,1,None,Right,1
19,98.28921,0,1,None,Right,1
20,98.73918,0,1,None,Right,1
21,99.67242,0,1,None,Down,1
22,100.0058,0,1,None,Left,1
23,100.4058,0,1,None,Left,1
24,100.6724,0,1,None,Down,1
25,101.0892,0,1,None,Right,1
26,101.4726,0,1,None,Right,1
27,102.0058,0,1,None,Right,1
28,102.4558,0,1,None,Right,1
29,102.7558,0,1,None,Up,1
30,103.8558,0,1,None,Left,1
31,104.7891,0,1,None,Left,1
32,105.2224,0,1,None,Left,1
33,105.8058,0,1,None,Up,1
34,106.3391,0,1,None,Up,0
35,106.8058,0,1,None,Down,1
36,107.1058,0,1,None,Down,1
37,107.7392,0,1,None,Left,1
38,108.0891,0,1,None,Right,1
39,108.3892,0,1,None,Right,1
40,108.6558,0,1,None,Right,1
41,109.1892,0,1,None,Right,1
42,109.6891,0,1,None,Right,1
43,110.0392,0,1,None,Up,1
44,110.4558,0,1,None,Right,1
45,110.7891,0,1,None,Right,1
46,111.2391,0,1,None,Right,1
47,111.5892,0,1,None,Right,1
48,111.9724,0,1,None,Right,0
49,112.5891,0,1,None,Left,1
50,112.8391,0,1,None,Left,1
51,113.0891,0,1,None,Left,1
52,113.3891,0,1,None,Up,1
53,113.7891,0,1,None,Up,0
54,114.2057,0,1,None,Up,0
55,114.4724,0,1,None,Left,1
56,114.7224,0,1,None,Left,1
57,115.4057,0,1,None,Down,1
58,119.9393,0,1,Undo,None,1
59,120.7891,0,1,None,Left,1
60,121.2391,0,1,None,Left,1
61,121.4891,0,1,None,Left,1
62,121.7391,0,1,None,Left,1
63,122.339,0,1,None,Left,1
64,122.6391,0,1,None,Left,1
65,122.9057,0,1,None,Left,1
66,123.1724,0,1,None,Left,1
67,123.4224,0,1,None,Left,1
68,123.6724,0,1,None,Left,1
69,123.9391,0,1,None,Left,1
70,124.2057,0,1,None,Left,0
71,124.5723,0,1,None,Down,1
72,124.8391,0,1,None,Down,1
73,125.0891,0,1,None,Down,1
74,125.3891,0,1,None,Right,1
75,125.6557,0,1,None,Right,1
76,125.9057,0,1,None,Right,0
77,126.1557,0,1,None,Right,0
78,126.4223,0,1,None,Right,0
79,126.7724,0,1,None,Up,1
80,127.189,0,1,None,Right,1
81,127.4557,0,1,None,Right,1
82,127.7223,0,1,None,Right,1
83,127.9723,0,1,None,Right,1
84,128.2557,0,1,None,Right,1
85,128.9391,0,1,None,Right,1
86,129.8723,0,1,None,Up,1
87,130.2057,0,1,None,Up,1
88,130.8057,0,1,None,Up,0
89,131.839,0,1,None,Left,1
90,132.3723,0,1,None,Left,1
91,132.906,0,1,None,Left,1
92,133.5891,0,1,None,Up,0
93,134.4891,0,1,None,Left,1
94,135.9557,0,1,None,Left,1
95,136.5723,0,1,None,Down,1
96,137.0557,0,1,None,Down,1
97,139.0723,0,1,None,Down,0
98,139.4723,0,1,None,Right,1
99,139.7723,0,1,None,Right,1
100,140.089,0,1,None,Right,1
101,140.3891,0,1,None,Right,1
102,140.689,0,1,None,Right,1
103,141.639,0,1,None,Right,1
104,141.939,0,1,None,Left,1
105,142.2057,0,1,None,Left,1
106,142.5557,0,1,None,Up,1
107,142.8891,0,1,None,Right,1
108,143.1557,0,1,None,Right,1
109,143.4223,0,1,None,Right,1
110,143.6723,0,1,None,Right,1
111,145.1223,0,1,None,Up,1
112,145.739,0,1,None,Down,1
113,150.239,0,1,None,Down,1
114,150.5057,0,1,None,Right,1
115,150.8057,0,1,None,Right,1
116,151.139,0,1,None,Right,1
117,151.489,0,1,None,Down,1
118,151.9556,0,1,None,Down,1
119,152.2057,0,1,None,Left,2
120,153.1057,0,1,None,Left,3
121,153.8389,0,1,None,Left,3
122,154.139,0,1,None,Left,3
123,154.4057,0,1,None,Left,3
124,154.6723,0,1,None,Left,3
125,154.9723,0,1,None,Left,4
126,155.939,0,1,None,Up,0
127,156.5725,0,1,None,Right,1
128,156.839,0,1,None,Right,1
129,157.1056,0,1,None,Right,1
130,157.3556,0,1,None,Right,1
131,157.6222,0,1,None,Right,1
132,157.8723,0,1,None,Right,1
133,158.139,0,1,None,Right,1
134,158.439,0,1,None,Up,1
135,158.889,0,1,None,Left,0
136,159.139,0,1,None,Left,0
137,159.439,0,1,None,Up,1
