Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,54.18607,-1,-1,Login,None,-1
2,117.086,0,0,Start,None,-1
3,123.9527,0,0,None,Right,1
4,124.2027,0,0,None,Right,1
5,125.1527,0,0,None,Left,1
6,131.186,0,0,None,Up,1
7,131.5028,0,0,None,Up,0
8,132.5194,0,0,None,Right,1
9,132.9193,0,0,None,Right,2
10,133.1694,0,0,None,Right,2
11,135.6527,0,0,None,Left,1
12,135.9027,0,0,None,Left,1
13,136.4193,0,0,None,Down,1
14,136.9193,0,0,None,Right,2
15,137.2027,0,0,None,Right,2
16,137.586,0,0,None,Right,2
17,139.7027,0,0,None,Left,1
18,140.036,0,0,None,Left,1
19,140.3693,0,0,None,Left,1
20,140.9527,0,0,None,Down,1
21,141.4194,0,0,None,Right,2
22,141.7192,0,0,None,Right,2
23,142.0025,0,0,None,Right,2
24,142.3026,0,0,None,Right,2
25,144.4358,0,0,None,Up,2
26,144.4524,0,0,Success,None,-1
27,154.7691,0,1,Start,None,-1
28,158.2525,0,1,None,Down,1
29,158.7358,0,1,None,Up,1
30,159.0859,0,1,None,Right,1
31,159.3858,0,1,None,Right,1
32,162.4692,0,1,None,Right,1
33,162.7859,0,1,None,Right,1
34,163.4525,0,1,None,Right,1
35,163.7691,0,1,None,Right,1
36,164.0191,0,1,None,Right,1
37,164.9358,0,1,None,Left,1
38,166.3025,0,1,None,Left,1
39,166.7025,0,1,None,Left,1
40,167.0025,0,1,None,Left,1
41,167.7359,0,1,None,Left,1
42,168.0025,0,1,None,Left,1
43,173.6858,0,1,None,Right,1
44,174.0525,0,1,None,Right,1
45,175.0191,0,1,None,Up,1
46,175.8358,0,1,None,Down,1
47,176.1859,0,1,None,Down,1
48,177.2025,0,1,None,Up,1
49,177.5858,0,1,None,Left,1
50,178.3191,0,1,None,Right,1
51,180.1525,0,1,None,Right,1
52,180.4025,0,1,None,Right,1
53,180.6691,0,1,None,Right,1
54,180.9358,0,1,None,Right,1
55,181.3025,0,1,None,Left,1
56,181.5691,0,1,None,Left,1
57,181.8858,0,1,None,Left,1
58,182.1358,0,1,None,Left,1
59,182.5358,0,1,None,Up,1
60,182.8025,0,1,None,Up,0
61,183.0525,0,1,None,Up,0
62,183.319,0,1,None,Down,1
63,183.5692,0,1,None,Down,1
64,184.2524,0,1,None,Up,1
65,185.0358,0,1,None,Right,1
66,185.3024,0,1,None,Left,1
67,185.6859,0,1,None,Left,1
68,186.1191,0,1,None,Down,1
69,186.4357,0,1,None,Right,1
70,186.7858,0,1,None,Up,1
71,187.2691,0,1,None,Down,1
72,191.4191,0,1,None,Up,1
73,191.6691,0,1,None,Up,1
74,192.0523,0,1,None,Right,1
75,192.3024,0,1,None,Right,1
76,192.5524,0,1,None,Right,1
77,192.8025,0,1,None,Down,1
78,194.1691,0,1,None,Left,1
79,194.4691,0,1,None,Left,1
80,194.7191,0,1,None,Left,1
81,195.0691,0,1,None,Up,1
82,195.4524,0,1,None,Down,1
83,195.7024,0,1,None,Down,1
84,195.9691,0,1,None,Left,1
85,196.2191,0,1,None,Left,1
86,196.4857,0,1,None,Left,1
87,196.7357,0,1,None,Left,1
88,197.0024,0,1,None,Left,1
89,197.2525,0,1,None,Left,1
90,197.5191,0,1,None,Left,1
91,197.7691,0,1,None,Up,1
92,198.4691,0,1,None,Right,1
93,198.7357,0,1,None,Right,1
94,198.9858,0,1,None,Right,1
95,199.2524,0,1,None,Right,1
96,199.5025,0,1,None,Right,1
97,199.7691,0,1,None,Right,1
98,200.0191,0,1,None,Right,1
99,200.2691,0,1,None,Right,1
100,200.5357,0,1,None,Right,1
101,200.8024,0,1,None,Right,1
102,201.0524,0,1,None,Right,1
103,201.3024,0,1,None,Right,1
104,201.5525,0,1,None,Right,1
105,201.8191,0,1,None,Right,1
106,202.0691,0,1,None,Right,1
107,202.3357,0,1,None,Right,0
