Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,19.34788,-1,-1,Login,None,-1
2,62.41449,0,0,Start,None,-1
3,66.4478,0,0,None,Right,1
4,67.53112,0,0,None,Left,1
5,68.5478,0,0,None,Right,1
6,68.81444,0,0,None,Down,1
7,69.09779,0,0,None,Down,0
8,69.46457,0,0,None,Down,0
9,69.73107,0,0,None,Right,1
10,69.98108,0,0,None,Right,2
11,73.91442,0,0,None,Left,1
12,77.83106,0,0,None,Right,1
13,78.08108,0,0,None,Right,2
14,78.59777,0,0,None,Left,1
15,78.84777,0,0,None,Left,1
16,80.04781,0,0,None,Right,1
17,80.54777,0,0,None,Left,1
18,80.96446,0,0,None,Up,1
19,82.21445,0,0,None,Right,2
20,82.51447,0,0,None,Right,2
21,82.89779,0,0,None,Right,2
22,84.09781,0,0,None,Left,1
23,85.13106,0,0,None,Down,1
24,86.11443,0,0,None,Right,2
25,86.68108,0,0,None,Left,1
26,87.04778,0,0,None,Left,1
27,87.33118,0,0,None,Left,1
28,87.7311,0,0,None,Up,1
29,88.06447,0,0,None,Up,1
30,88.41445,0,0,None,Right,2
31,88.84782,0,0,None,Right,2
32,89.26455,0,0,None,Right,2
33,89.99789,0,0,None,Down,1
34,90.56458,0,0,None,Right,2
35,90.58123,0,0,Success,None,-1
36,93.66455,0,1,Start,None,-1
37,104.2647,0,1,None,Right,1
38,104.6644,0,1,None,Down,1
39,104.9645,0,1,None,Right,1
40,105.2145,0,1,None,Right,1
41,105.4811,0,1,None,Right,1
42,105.7478,0,1,None,Right,1
43,106.2478,0,1,None,Right,1
44,106.5978,0,1,None,Up,1
45,107.6479,0,1,None,Left,1
46,107.9645,0,1,None,Left,1
47,108.3645,0,1,None,Left,1
48,108.8645,0,1,None,Left,1
49,109.2811,0,1,None,Right,1
50,109.6479,0,1,None,Left,1
51,110.6479,0,1,None,Up,1
52,111.0145,0,1,None,Right,1
53,111.4311,0,1,None,Left,1
54,111.6812,0,1,None,Down,1
55,111.9478,0,1,None,Right,1
56,112.2979,0,1,None,Right,1
57,112.5979,0,1,None,Right,1
58,112.8811,0,1,None,Right,1
59,116.4311,0,1,None,Left,1
60,116.7145,0,1,None,Left,1
61,117.0645,0,1,None,Left,1
62,117.6478,0,1,None,Down,1
63,118.2476,0,1,None,Up,1
64,118.9146,0,1,None,Up,1
65,119.7478,0,1,None,Left,1
66,120.0144,0,1,None,Left,1
67,120.2645,0,1,None,Left,1
68,120.5311,0,1,None,Left,1
69,120.7811,0,1,None,Left,1
70,121.0978,0,1,None,Left,1
71,121.4977,0,1,None,Left,1
72,121.8478,0,1,None,Left,1
73,122.1978,0,1,None,Left,0
74,122.8644,0,1,None,Right,1
75,123.1145,0,1,None,Right,1
76,123.3811,0,1,None,Right,1
77,123.681,0,1,None,Left,1
78,123.9311,0,1,None,Left,1
79,124.1811,0,1,None,Down,1
80,124.4312,0,1,None,Down,1
81,124.6978,0,1,None,Down,1
82,124.9644,0,1,None,Down,1
83,125.2311,0,1,None,Down,1
84,125.4811,0,1,None,Right,1
85,125.7312,0,1,None,Right,1
86,125.9978,0,1,None,Right,1
87,126.481,0,1,None,Up,1
88,127.0478,0,1,None,Right,2
89,127.3478,0,1,None,Right,2
90,127.5978,0,1,None,Right,2
91,127.8479,0,1,None,Right,2
92,128.3811,0,1,None,Right,2
93,128.7645,0,1,None,Right,3
94,129.2477,0,1,None,Right,4
95,129.9144,0,1,None,Left,1
96,130.1644,0,1,None,Down,1
97,130.4144,0,1,None,Right,1
98,130.6645,0,1,None,Right,1
99,130.931,0,1,None,Right,1
100,131.1811,0,1,None,Right,1
101,131.5645,0,1,None,Up,2
102,132.7144,0,1,None,Left,3
103,133.2978,0,1,None,Left,3
104,133.5811,0,1,None,Left,3
105,133.8477,0,1,None,Left,3
106,134.0978,0,1,None,Left,3
107,134.3644,0,1,None,Left,3
108,134.6144,0,1,None,Left,3
109,134.8645,0,1,None,Left,3
110,135.6477,0,1,None,Left,4
111,136.9478,0,1,None,Down,1
112,137.2143,0,1,None,Down,1
113,137.4644,0,1,None,Left,1
114,137.731,0,1,None,Left,1
115,137.9812,0,1,None,Left,1
116,138.2478,0,1,None,Left,1
117,138.5144,0,1,None,Up,1
118,139.1144,0,1,None,Up,1
119,139.5811,0,1,None,Up,1
120,139.8978,0,1,None,Up,1
121,140.231,0,1,None,Right,1
122,140.4811,0,1,None,Right,1
123,140.7311,0,1,None,Right,1
124,140.9811,0,1,None,Right,1
125,141.2477,0,1,None,Right,1
126,141.4977,0,1,None,Right,1
127,141.9811,0,1,None,Right,1
128,141.9978,0,1,Success,None,-1
129,145.581,0,2,Start,None,-1
130,150.2977,0,2,None,Right,1
131,150.6311,0,2,None,Right,1
132,150.9978,0,2,None,Right,2
133,151.2644,0,2,Defeat,None,-1
134,153.0143,0,2,Restart,None,-1
135,154.0144,0,2,None,Up,1
136,154.2644,0,2,None,Right,1
137,154.531,0,2,None,Right,1
138,154.8476,0,2,None,Right,2
139,155.0978,0,2,Defeat,None,-1
140,155.581,0,2,Restart,None,-1
141,155.8978,0,2,None,Left,1
142,156.2977,0,2,None,Left,2
143,160.5309,0,2,None,Left,2
144,160.8309,0,2,None,Down,1
145,161.081,0,2,None,Down,1
146,161.3477,0,2,None,Down,1
147,161.6143,0,2,None,Down,1
148,161.8643,0,2,None,Down,1
149,162.1477,0,2,None,Right,1
150,162.4143,0,2,None,Right,1
151,162.6644,0,2,None,Right,1
152,162.9144,0,2,None,Right,1
153,163.181,0,2,None,Right,1
154,163.4478,0,2,None,Right,1
155,163.7144,0,2,None,Right,1
156,163.9644,0,2,None,Right,1
157,164.231,0,2,None,Right,1
158,164.4976,0,2,None,Right,1
159,164.7477,0,2,None,Right,1
160,165.181,0,2,None,Right,1
161,165.4809,0,2,None,Up,1
162,165.731,0,2,None,Up,1
163,165.9976,0,2,None,Up,1
164,166.2476,0,2,None,Up,1
165,166.5142,0,2,None,Up,1
166,166.7643,0,2,None,Left,1
167,167.1146,0,2,None,Left,1
168,167.3976,0,2,None,Left,1
169,167.4143,0,2,Success,None,-1
170,168.9142,0,3,Start,None,-1
171,174.9643,0,3,None,Right,1
172,175.2143,0,3,None,Right,1
173,175.4643,0,3,None,Right,2
174,176.0475,0,3,None,Right,2
175,176.5477,0,3,None,Down,1
176,176.8476,0,3,None,Right,1
177,177.1144,0,3,None,Right,1
178,177.4977,0,3,None,Up,1
179,177.5143,0,3,Success,None,-1
180,185.4308,1,0,Start,None,-1
181,188.9641,1,0,None,Up,1
182,189.3809,1,0,None,Right,1
183,189.7308,1,0,None,Up,1
184,190.1141,1,0,None,Up,1
185,190.7141,1,0,None,Right,1
186,190.9975,1,0,None,Up,1
187,191.2475,1,0,None,Right,1
188,191.4978,1,0,None,Right,1
189,191.7642,1,0,None,Right,1
190,192.0144,1,0,None,Right,1
191,192.2808,1,0,None,Right,1
192,193.7975,1,0,None,Down,1
193,194.9642,1,0,None,Left,1
194,195.2475,1,0,None,Left,1
195,195.6141,1,0,None,Left,1
196,196.0474,1,0,None,Left,1
197,196.8975,1,0,None,Down,1
198,199.0641,1,0,None,Down,1
199,199.4308,1,0,None,Right,1
200,199.8307,1,0,None,Down,1
201,200.1974,1,0,None,Right,1
202,200.4474,1,0,None,Down,2
203,201.8975,1,0,None,Left,1
204,207.0474,1,0,Redo,None,0
205,209.9475,1,0,Redo,None,0
206,210.9975,1,0,Redo,None,0
207,211.8142,1,0,None,Left,0
208,212.2974,1,0,None,Right,1
209,212.7141,1,0,None,Left,1
210,213.0141,1,0,None,Down,1
211,213.3141,1,0,None,Right,0
212,213.7641,1,0,None,Down,0
213,214.2474,1,0,None,Up,1
214,214.514,1,0,None,Up,1
215,214.7641,1,0,None,Right,1
216,215.0307,1,0,None,Right,0
217,215.3808,1,0,None,Right,0
218,215.6474,1,0,None,Right,0
219,215.8974,1,0,None,Down,1
220,216.3308,1,0,None,Right,1
221,216.7141,1,0,None,Right,2
222,217.1307,1,0,None,Down,1
223,217.5641,1,0,None,Down,1
224,217.8308,1,0,None,Left,1
225,218.1974,1,0,None,Left,1
226,218.4641,1,0,None,Up,2
227,218.9141,1,0,None,Up,2
228,219.8141,1,0,None,Right,1
229,220.1308,1,0,None,Up,0
230,223.0308,1,0,Pause,None,-1
231,224.5641,1,0,Restart,None,-1
232,226.014,1,0,None,Right,1
233,226.2974,1,0,None,Up,1
234,226.5808,1,0,None,Right,1
235,226.8474,1,0,None,Right,1
236,227.0974,1,0,None,Right,1
237,229.4141,1,0,None,Down,1
238,229.6807,1,0,None,Down,1
239,230.0807,1,0,None,Down,1
240,231.1641,1,0,None,Right,1
241,231.5307,1,0,None,Down,1
242,231.7974,1,0,None,Right,1
243,234.1307,1,0,None,Right,1
244,234.814,1,0,None,Right,1
245,235.1474,1,0,None,Up,1
246,235.5974,1,0,None,Up,1
247,236.2973,1,0,None,Up,1
248,236.5474,1,0,None,Left,1
249,239.7473,1,0,None,Left,0
250,243.0641,1,0,None,Right,1
251,243.4474,1,0,None,Down,1
252,247.7807,1,0,None,Left,2
253,252.0307,1,0,None,Left,3
254,252.4639,1,0,None,Right,1
255,252.7474,1,0,None,Down,1
256,253.364,1,0,None,Down,1
257,253.614,1,0,None,Left,1
258,254.414,1,0,None,Left,1
259,254.7473,1,0,None,Up,1
260,255.014,1,0,None,Left,1
261,255.4807,1,0,None,Up,2
262,256.114,1,0,None,Down,1
263,256.5807,1,0,None,Right,1
264,256.8806,1,0,None,Down,1
265,257.1306,1,0,None,Right,1
266,257.3806,1,0,None,Right,1
267,257.6307,1,0,None,Right,1
268,257.8807,1,0,None,Up,1
269,258.1973,1,0,None,Up,1
270,258.5473,1,0,None,Left,1
271,258.9973,1,0,None,Left,1
272,260.914,1,0,None,Left,2
273,261.2806,1,0,None,Down,1
274,261.5307,1,0,None,Left,1
275,262.714,1,0,None,Right,1
276,265.014,1,0,None,Left,1
277,272.114,1,0,None,Up,3
278,277.0139,1,0,Pause,None,-1
279,277.7472,1,0,Restart,None,-1
280,279.1306,1,0,None,Up,1
281,279.3972,1,0,None,Left,1
282,279.6473,1,0,None,Left,1
283,279.9306,1,0,None,Up,1
284,280.3139,1,0,None,Up,2
285,280.564,1,0,Defeat,None,-1
286,282.2306,1,0,Restart,None,-1
287,282.7472,1,0,None,Left,1
288,283.0139,1,0,None,Up,1
289,283.2806,1,0,None,Up,1
290,283.5306,1,0,None,Up,2
291,283.7806,1,0,Defeat,None,-1
292,284.2972,1,0,Restart,None,-1
293,284.5806,1,0,None,Right,1
294,284.8472,1,0,None,Right,1
295,285.1139,1,0,None,Up,1
296,285.364,1,0,None,Up,1
297,285.6306,1,0,None,Up,1
298,285.8972,1,0,None,Up,1
299,286.5806,1,0,None,Left,1
300,286.8806,1,0,None,Left,1
301,287.1472,1,0,None,Left,1
302,287.5306,1,0,None,Down,2
303,287.7971,1,0,Defeat,None,-1
304,288.3806,1,0,Restart,None,-1
305,303.2638,1,0,None,Right,1
306,303.5139,1,0,None,Right,1
307,303.8638,1,0,None,Right,0
308,304.1138,1,0,None,Right,0
309,304.3638,1,0,None,Up,1
310,304.6138,1,0,None,Right,1
311,305.1139,1,0,None,Up,1
312,305.5138,1,0,None,Down,1
313,305.8806,1,0,None,Right,1
314,309.0805,1,0,None,Down,1
315,309.5305,1,0,None,Down,1
316,309.8805,1,0,None,Down,1
317,310.1639,1,0,None,Right,1
318,310.4139,1,0,None,Right,0
319,310.8305,1,0,None,Down,1
320,311.1638,1,0,None,Down,1
321,311.8139,1,0,None,Down,1
322,312.2139,1,0,None,Up,1
323,312.8638,1,0,None,Right,1
324,313.1138,1,0,None,Right,1
325,313.9138,1,0,None,Up,1
326,314.1805,1,0,None,Up,1
327,314.5139,1,0,None,Right,1
328,316.7971,1,0,None,Left,1
329,318.1472,1,0,None,Right,1
330,318.3972,1,0,None,Right,1
331,318.6472,1,0,None,Right,1
332,318.9138,1,0,None,Up,1
333,319.1971,1,0,None,Right,1
334,319.4638,1,0,None,Right,1
335,319.7305,1,0,None,Right,1
336,319.9805,1,0,None,Right,0
337,320.5805,1,0,None,Up,1
338,320.9319,1,0,None,Right,0
339,321.4481,1,0,None,Right,0
340,321.9142,1,0,None,Up,1
341,322.2639,1,0,None,Up,1
342,322.5305,1,0,None,Right,1
343,322.8138,1,0,None,Down,4
344,326.3804,1,0,None,Right,0
345,326.8638,1,0,None,Down,4
346,328.7971,1,0,None,Left,1
347,329.1304,1,0,None,Left,1
348,329.4638,1,0,None,Left,1
349,329.7638,1,0,None,Left,1
350,330.2137,1,0,None,Left,1
351,330.497,1,0,None,Left,1
352,330.9138,1,0,None,Left,1
353,333.7804,1,0,None,Right,1
354,334.0304,1,0,None,Right,1
355,334.297,1,0,None,Down,1
356,334.6804,1,0,None,Down,1
357,334.9305,1,0,None,Left,1
358,335.1971,1,0,None,Left,1
359,335.547,1,0,None,Down,1
360,335.7971,1,0,None,Left,1
361,336.0637,1,0,None,Left,1
362,336.3804,1,0,None,Up,1
363,336.6638,1,0,None,Left,1
364,336.9804,1,0,None,Up,1
365,337.3138,1,0,None,Right,2
366,337.5803,1,0,None,Right,3
367,338.0638,1,0,None,Right,3
368,338.8804,1,0,None,Up,1
369,342.5637,1,0,None,Down,1
370,343.2303,1,0,None,Right,3
371,344.4804,1,0,None,Right,3
372,344.7304,1,0,None,Right,3
373,345.497,1,0,None,Down,1
374,345.747,1,0,None,Right,1
375,346.0137,1,0,None,Right,1
376,346.2638,1,0,None,Up,2
377,346.5304,1,0,None,Up,2
378,346.7804,1,0,None,Up,2
379,347.0304,1,0,None,Down,1
380,347.3304,1,0,None,Down,1
381,347.647,1,0,None,Down,1
382,347.897,1,0,None,Left,1
383,348.147,1,0,None,Up,2
384,348.397,1,0,None,Up,2
385,348.647,1,0,None,Up,2
386,348.9137,1,0,None,Up,2
387,349.1637,1,0,None,Up,2
388,350.0137,1,0,None,Right,1
389,350.3138,1,0,None,Up,1
390,350.5804,1,0,None,Left,2
391,350.8304,1,0,None,Left,2
392,351.097,1,0,None,Left,2
393,351.3637,1,0,None,Left,2
394,351.6137,1,0,None,Left,2
395,351.8637,1,0,None,Left,2
396,352.1304,1,0,None,Left,2
397,352.3804,1,0,None,Left,2
398,352.647,1,0,None,Left,2
399,352.9136,1,0,None,Left,2
400,353.2637,1,0,None,Left,2
401,353.6137,1,0,None,Left,2
402,354.1304,1,0,None,Right,1
403,354.397,1,0,None,Right,1
404,354.647,1,0,None,Right,1
