Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,14.69635,-1,-1,Login,None,-1
2,58.59633,0,0,Start,None,-1
3,73.46296,0,0,None,Right,1
4,73.72961,0,0,None,Right,1
5,74.44637,0,0,None,Right,2
6,75.16293,0,0,None,Right,2
7,75.5963,0,0,None,Right,2
8,77.39629,0,0,None,Up,1
9,78.34631,0,0,None,Left,1
10,78.7796,0,0,None,Left,2
11,79.69634,0,0,None,Left,2
12,80.26295,0,0,None,Left,2
13,81.51299,0,0,None,Right,1
14,81.84631,0,0,None,Right,1
15,82.5463,0,0,None,Down,1
16,82.89633,0,0,None,Down,0
17,83.46301,0,0,None,Down,0
18,84.34632,0,0,None,Down,0
19,85.14629,0,0,None,Left,1
20,85.39633,0,0,None,Left,1
21,86.04633,0,0,None,Down,1
22,87.06295,0,0,None,Right,1
23,87.34629,0,0,None,Right,2
24,87.61293,0,0,None,Right,2
25,88.26292,0,0,None,Right,2
26,89.41296,0,0,None,Up,1
27,89.82958,0,0,None,Up,1
28,90.44626,0,0,None,Left,1
29,90.74627,0,0,None,Left,1
30,91.02959,0,0,None,Left,1
31,91.31296,0,0,None,Left,1
32,91.64633,0,0,None,Left,2
33,92.14626,0,0,None,Left,2
34,92.71293,0,0,None,Left,2
35,100.2795,0,0,Pause,None,-1
36,101.9463,0,0,Resume,None,-1
37,105.5962,0,0,None,Down,1
38,106.1462,0,0,None,Left,1
39,106.8462,0,0,None,Up,2
40,107.7462,0,0,None,Left,1
41,108.1463,0,0,None,Up,1
42,108.7963,0,0,None,Right,0
43,109.1963,0,0,None,Right,0
44,109.5462,0,0,None,Right,0
45,109.7962,0,0,None,Right,0
46,110.2129,0,0,None,Up,1
47,110.7463,0,0,None,Right,1
48,111.2129,0,0,None,Down,2
49,111.5629,0,0,None,Down,2
50,111.863,0,0,None,Down,2
51,112.1295,0,0,None,Down,2
52,112.3962,0,0,None,Down,2
53,113.7296,0,0,None,Left,1
54,113.9796,0,0,None,Left,1
55,114.4462,0,0,None,Down,1
56,114.9129,0,0,None,Down,1
57,115.3962,0,0,None,Right,1
58,115.7462,0,0,None,Right,1
59,116.1962,0,0,None,Up,2
60,116.5295,0,0,None,Up,2
61,116.9795,0,0,None,Up,2
62,117.4962,0,0,None,Up,2
63,118.0963,0,0,None,Left,1
64,118.4629,0,0,None,Up,1
65,118.9128,0,0,None,Right,2
66,119.1629,0,0,None,Right,2
67,119.4295,0,0,None,Right,2
68,119.7297,0,0,None,Right,2
69,120.1129,0,0,None,Right,2
70,120.3795,0,0,None,Right,2
71,120.6295,0,0,None,Right,2
72,120.8795,0,0,None,Right,2
73,121.2629,0,0,None,Right,2
74,122.4963,0,0,None,Up,0
75,123.1129,0,0,None,Right,2
76,123.8795,0,0,None,Right,2
77,124.3796,0,0,None,Down,1
78,124.9129,0,0,None,Right,1
79,125.7295,0,0,None,Right,1
80,126.1962,0,0,None,Up,1
81,126.8295,0,0,None,Left,2
82,127.1963,0,0,None,Left,2
83,133.4628,0,0,Redo,None,0
