Count,TimeFromLaunch,Chapter,Level,Control,Operation,NumOfCommands
1,13.6867,-1,-1,Login,None,-1
2,71.43625,0,0,Start,None,-1
3,82.01971,0,0,None,Right,1
4,85.05294,0,0,None,Down,1
5,85.71958,0,0,None,Right,1
6,86.3363,0,0,None,Right,2
7,86.88632,0,0,None,Right,2
8,87.35291,0,0,None,Right,2
9,88.8363,0,0,None,Left,1
10,89.08633,0,0,None,Left,1
11,89.35294,0,0,None,Left,1
12,89.61957,0,0,None,Left,1
13,90.03629,0,0,None,Up,1
14,90.33632,0,0,None,Up,1
15,90.88631,0,0,None,Right,1
16,91.15289,0,0,None,Right,2
17,91.40295,0,0,None,Right,2
18,91.78627,0,0,None,Right,2
19,93.38616,0,0,None,Down,1
20,94.05287,0,0,None,Down,1
21,94.35295,0,0,None,Left,1
22,94.60295,0,0,None,Left,1
23,94.86954,0,0,None,Left,1
24,95.40292,0,0,None,Up,1
25,95.71959,0,0,None,Right,2
26,95.9696,0,0,None,Right,2
27,96.23625,0,0,None,Right,2
28,97.16956,0,0,None,Right,2
29,97.18622,0,0,Success,None,-1
30,100.3862,0,1,Start,None,-1
31,107.8528,0,1,None,Right,1
32,108.1361,0,1,None,Right,1
33,108.3861,0,1,None,Right,1
34,108.8194,0,1,None,Right,1
35,109.0695,0,1,None,Right,1
36,109.4528,0,1,None,Right,1
37,110.1362,0,1,None,Right,1
38,111.7028,0,1,None,Left,1
39,111.9694,0,1,None,Left,1
40,112.2195,0,1,None,Left,1
41,112.7527,0,1,None,Left,1
42,113.7861,0,1,None,Left,1
43,114.2361,0,1,None,Right,1
44,115.2528,0,1,None,Right,1
45,116.3528,0,1,None,Down,1
46,116.9361,0,1,None,Left,1
47,117.3361,0,1,None,Left,1
48,117.9528,0,1,None,Right,1
49,118.2861,0,1,None,Right,1
50,118.9361,0,1,None,Right,1
51,119.4527,0,1,None,Up,1
52,119.7028,0,1,None,Up,1
53,120.3361,0,1,None,Left,1
54,120.5861,0,1,None,Left,1
55,120.8527,0,1,None,Left,1
56,121.2195,0,1,None,Right,1
57,121.5528,0,1,None,Right,1
58,124.5694,0,1,None,Up,0
59,125.0027,0,1,None,Up,0
60,125.4027,0,1,None,Down,1
61,126.0527,0,1,None,Left,1
62,126.3694,0,1,None,Left,1
63,127.1194,0,1,None,Down,1
64,127.5027,0,1,None,Right,1
65,127.7694,0,1,None,Right,1
66,128.0194,0,1,None,Right,1
67,128.2861,0,1,None,Right,1
68,128.8027,0,1,None,Up,1
69,129.0527,0,1,None,Up,1
70,129.3027,0,1,None,Up,0
71,129.5528,0,1,None,Up,0
72,132.7532,0,1,Pause,None,-1
73,135.3528,0,1,Restart,None,-1
74,137.286,0,1,None,Down,1
75,137.586,0,1,None,Down,0
76,137.8361,0,1,None,Down,0
77,138.1527,0,1,None,Right,1
78,138.4194,0,1,None,Right,1
79,138.6861,0,1,None,Right,1
80,138.9361,0,1,None,Right,1
81,139.1861,0,1,None,Up,1
82,139.5027,0,1,None,Up,1
83,139.9861,0,1,None,Left,1
84,140.2861,0,1,None,Left,1
85,140.6027,0,1,None,Left,1
86,141.186,0,1,None,Up,0
87,141.6694,0,1,None,Right,1
88,141.9361,0,1,None,Right,1
89,142.2027,0,1,None,Right,1
90,142.4693,0,1,None,Right,1
91,142.7194,0,1,None,Right,1
92,142.9694,0,1,None,Right,1
93,143.4194,0,1,None,Left,1
94,143.8527,0,1,None,Down,1
95,144.1194,0,1,None,Down,1
96,144.386,0,1,None,Down,0
97,144.936,0,1,None,Left,1
98,145.1861,0,1,None,Left,1
99,145.4527,0,1,None,Left,1
100,146.336,0,1,None,Left,1
101,146.7695,0,1,None,Up,1
102,147.2528,0,1,None,Right,1
103,147.5028,0,1,None,Right,1
104,147.7528,0,1,None,Right,1
105,148.0195,0,1,None,Right,1
106,148.486,0,1,None,Right,1
107,149.0527,0,1,None,Left,1
108,149.3028,0,1,None,Left,1
109,149.5528,0,1,None,Left,1
110,149.8028,0,1,None,Left,1
111,150.0694,0,1,None,Left,1
112,150.4695,0,1,None,Down,1
113,150.9028,0,1,None,Right,1
114,151.1528,0,1,None,Right,1
115,151.4195,0,1,None,Right,1
116,151.6861,0,1,None,Right,1
117,151.9361,0,1,None,Right,1
118,152.3194,0,1,None,Down,0
119,153.3028,0,1,None,Left,1
120,153.5528,0,1,None,Left,1
121,153.8194,0,1,None,Left,1
122,154.0694,0,1,None,Left,1
123,154.3194,0,1,None,Left,1
124,154.6028,0,1,None,Left,1
125,154.9694,0,1,None,Up,1
126,155.2194,0,1,None,Up,1
127,155.7528,0,1,None,Right,1
128,156.0194,0,1,None,Right,1
129,156.2695,0,1,None,Right,1
130,156.5195,0,1,None,Right,1
131,156.7861,0,1,None,Right,1
132,162.0527,0,1,None,Down,1
133,162.3193,0,1,None,Down,1
134,162.586,0,1,None,Down,0
135,162.8361,0,1,None,Down,0
136,163.1028,0,1,None,Down,0
137,163.4028,0,1,None,Right,1
138,163.6861,0,1,None,Right,1
139,163.9361,0,1,None,Right,1
140,164.1861,0,1,None,Right,1
141,164.4528,0,1,None,Right,1
142,164.7194,0,1,None,Right,0
143,164.9694,0,1,None,Right,0
144,165.2194,0,1,None,Right,0
145,165.486,0,1,None,Right,0
146,165.7527,0,1,None,Left,1
147,166.0028,0,1,None,Left,1
148,166.2528,0,1,None,Left,1
149,166.5194,0,1,None,Left,1
150,166.7694,0,1,None,Left,1
151,167.0194,0,1,None,Left,1
152,167.2694,0,1,None,Left,1
153,167.536,0,1,None,Left,1
154,167.7861,0,1,None,Left,1
155,168.0527,0,1,None,Left,1
156,168.3028,0,1,None,Left,1
157,168.5693,0,1,None,Left,1
158,168.8194,0,1,None,Left,1
159,169.0694,0,1,None,Left,1
160,169.3361,0,1,None,Left,1
161,169.6028,0,1,None,Up,1
162,169.8528,0,1,None,Up,1
163,170.1194,0,1,None,Up,1
164,170.3694,0,1,None,Up,1
165,170.8027,0,1,None,Right,1
166,172.1694,0,1,None,Right,4
167,172.4194,0,1,None,Right,4
168,172.686,0,1,None,Right,4
169,172.9361,0,1,None,Right,4
170,173.2028,0,1,None,Right,4
171,173.4694,0,1,None,Right,7
172,174.1527,0,1,None,Right,7
173,174.4028,0,1,None,Right,7
174,174.6528,0,1,None,Right,0
175,176.8693,0,1,None,Left,1
176,177.1194,0,1,None,Left,1
177,177.386,0,1,None,Left,1
178,177.636,0,1,None,Left,1
179,177.9027,0,1,None,Left,1
180,178.1693,0,1,None,Left,1
181,178.4193,0,1,None,Left,1
182,178.786,0,1,None,Left,1
183,179.036,0,1,None,Left,1
184,179.386,0,1,None,Left,1
185,179.9693,0,1,None,Down,1
186,180.8527,0,1,None,Down,1
187,181.1027,0,1,None,Down,1
188,181.3527,0,1,None,Down,1
189,181.6193,0,1,None,Down,1
190,181.8694,0,1,None,Down,1
191,182.9527,0,1,None,Right,1
192,183.2027,0,1,None,Right,1
193,183.4693,0,1,None,Right,2
194,183.7194,0,1,None,Right,3
195,183.9861,0,1,None,Right,3
196,184.2361,0,1,None,Right,3
197,184.5027,0,1,None,Right,3
198,184.7528,0,1,None,Right,3
199,185.0194,0,1,None,Right,4
200,185.286,0,1,None,Right,5
201,185.5527,0,1,None,Right,5
202,185.8027,0,1,None,Right,5
203,186.0527,0,1,None,Right,0
204,186.3027,0,1,None,Right,0
205,186.5693,0,1,None,Right,0
206,187.136,0,1,None,Up,0
207,187.9193,0,1,None,Left,1
208,188.1694,0,1,None,Left,1
209,188.4361,0,1,None,Left,1
